"provider_id","provider_name","npi","dea","specialty_concept_id","care_site_id","year_of_birth","gender_concept_id","provider_source_value","specialty_source_value","specialty_source_concept_id","gender_source_value","gender_source_concept_id"
1,Kristofer887 Heathcote539,,,38004446,,,8507,"33e757b5-d6be-3c76-9419-08223ad685a5",GENERAL PRACTICE,38004446,M,8507
2,Wilson960 Douglas31,,,38004446,,,8507,"16dc27ab-6e78-3ad5-b4d4-40c75af11c65",GENERAL PRACTICE,38004446,M,8507
3,Chantal971 Lehner980,,,38004446,,,8532,"2c44a972-7655-3c0a-82cd-01d4bb879587",GENERAL PRACTICE,38004446,F,8532
4,Norma469 Suárez24,,,38004446,,,8532,e7f038cc-fec5-3644-8474-ae53f499d983,GENERAL PRACTICE,38004446,F,8532
5,Cinderella355 Koelpin146,,,38004446,,,8532,a7102999-b9c3-3f53-a060-cc14adefdc88,GENERAL PRACTICE,38004446,F,8532
6,Adolph80 Farrell962,,,38004446,,,8507,"8e780c60-7bc0-35d6-8183-e71e8e94f2b0",GENERAL PRACTICE,38004446,M,8507
7,Eden920 Lebsack687,,,38004446,,,8532,"883ef4c2-34bb-3f73-871f-982caffc0796",GENERAL PRACTICE,38004446,F,8532
8,Jim478 Goyette777,,,38004446,,,8507,"549c2d20-c693-3f32-93e2-f4065af2f0ea",GENERAL PRACTICE,38004446,M,8507
9,Renato359 Kertzmann286,,,38004446,,,8507,"439a5977-195b-321e-b3d9-29a5d8dcb7cf",GENERAL PRACTICE,38004446,M,8507
10,Pamelia915 Kilback373,,,38004446,,,8532,a1eeed2c-1b27-389f-af76-c001694a05f6,GENERAL PRACTICE,38004446,F,8532
11,Sharron285 Batz141,,,38004446,,,8532,"3128982e-5536-319e-a6c7-0fcaa8941017",GENERAL PRACTICE,38004446,F,8532
12,Alva958 Ritchie586,,,38004446,,,8507,e2d826bc-b52f-3ed6-a139-d9521373b5ef,GENERAL PRACTICE,38004446,M,8507
13,Allyson474 Robel940,,,38004446,,,8532,"77ba59d1-4fe6-3385-bee1-6790bb4383ef",GENERAL PRACTICE,38004446,F,8532
14,Mayra756 Rodriguez71,,,38004446,,,8532,"87bc3fd1-b204-38cd-bdb9-c9d218287aaf",GENERAL PRACTICE,38004446,F,8532
15,Cherryl901 Hoppe518,,,38004446,,,8532,e2487fdf-6f93-39e3-8c15-f078a23228b7,GENERAL PRACTICE,38004446,F,8532
16,Giuseppe872 Witting912,,,38004446,,,8507,c695bc5f-5eea-373c-aec6-610c2efe642a,GENERAL PRACTICE,38004446,M,8507
17,Sally227 Schuppe920,,,38004446,,,8532,"24b5eebf-878e-3ffc-a465-f28b023dfdc3",GENERAL PRACTICE,38004446,F,8532
18,Santo387 Schuppe920,,,38004446,,,8507,"07b52222-d183-36ff-9ada-8025a8644144",GENERAL PRACTICE,38004446,M,8507
19,Erin498 Hand679,,,38004446,,,8507,"57744d9e-96a2-316b-9f80-82a5a5f6fcd9",GENERAL PRACTICE,38004446,M,8507
20,Leanne251 Bednar518,,,38004446,,,8532,"4fbe7f1d-3f6f-3249-8a55-02c4f4fe5cd4",GENERAL PRACTICE,38004446,F,8532
21,Chris95 Casper496,,,38004446,,,8507,ae0e9bdb-bf85-36f4-9536-9bbe741d0fb2,GENERAL PRACTICE,38004446,M,8507
22,Brianne669 Connelly992,,,38004446,,,8532,"4673ba39-0f76-30ef-8984-8f2712366eac",GENERAL PRACTICE,38004446,F,8532
23,Scottie437 Johnston597,,,38004446,,,8507,"24fc79fa-6426-3a68-88a3-2bf9ee92cee0",GENERAL PRACTICE,38004446,M,8507
